season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count,gross_premium
kharif,PMFBY,Jharkhand,Khunti,21.94,13750.89,0,787.8,1062.81,90,1850.61
kharif,PMFBY,Jharkhand,,6.77,3573.84,0,313.27,384.75,107,698.02
kharif,PMFBY,Jharkhand,Latehar,19.08,10679.17,0,1016.86,1230.44,121,2247.3
kharif,PMFBY,Jharkhand,Lohardaga,20.85,11824.16,0,599.3,835.79,73,1435.09
kharif,PMFBY,Jharkhand,Pakur,14,7431.43,0,227.12,351.85,133,578.97
kharif,PMFBY,Jharkhand,Palamu,49.07,27303.69,0,2113.1,2659.17,293,4772.27
kharif,PMFBY,Jharkhand,,24.13,14411.87,0,728.46,1016.7,225,1745.16
kharif,PMFBY,Jharkhand,,24.95,14114.02,0,492.04,774.31,188,1266.35
kharif,PMFBY,Jharkhand,Ramgarh,11.49,6961.08,0,432.14,571.36,107,1003.5
kharif,PMFBY,Jharkhand,Ranchi,58,31268.39,0,1334.63,1960,294,3294.63
kharif,PMFBY,Jharkhand,,8.94,4506.92,0,179.02,269.15,148,448.17
kharif,PMFBY,Jharkhand,,19,10831.99,0,485.09,701.73,141,1186.82
kharif,PMFBY,Jharkhand,Simdega,10.86,5992.07,0,352.94,472.78,102,825.72
kharif,PMFBY,Karnataka,,0.19,0.7049,0.0165,0.0539,0.0539,1080,0.12
kharif,PMFBY,Karnataka,Ballari,0.03,0.143,0.0046,0.0048,0.0048,1055,0.01
kharif,PMFBY,Karnataka,Belagavi,0.1,0.392,0.0082,0.0352,0.0352,1761,0.08
kharif,PMFBY,Karnataka,Bengaluru Rural,0,0.0087,0.0002,0.0004,0.0004,195,0
kharif,PMFBY,Karnataka,Bengaluru Urban,0,0.0011,0,0.0001,0.0001,127,0
kharif,PMFBY,Karnataka,Bidar,0.15,0.4999,0.0101,0.0629,0.0629,1059,0.14
kharif,PMFBY,Karnataka,,0.02,0.048,0.0013,0.0095,0.0095,509,0.02
kharif,PMFBY,Karnataka,,0.01,0.0686,0.0015,0.0059,0.0059,370,0.01
kharif,PMFBY,Karnataka,Chikkamagaluru,0.01,0.0267,0.0007,0.0003,0.0003,483,0
kharif,PMFBY,Karnataka,Chitradurga,0.1,0.3842,0.0082,0.026,0.026,803,0.06
kharif,PMFBY,Karnataka,Dakshina Kannada,0,0.0006,0,0,0,398,0
kharif,PMFBY,Karnataka,Davangere,0.02,0.0815,0.0018,0.0044,0.0044,454,0.01
kharif,PMFBY,Karnataka,Dharwad,0.25,0.9619,0.0239,0.0652,0.0652,603,0.15
kharif,PMFBY,Karnataka,Gadag,0.37,1.28,0.0268,0.1329,0.1329,743,0.29
kharif,PMFBY,Karnataka,,0.03,0.1105,0.0036,0.0067,0.0067,786,0.02
kharif,PMFBY,Karnataka,Haveri,0.14,0.6082,0.0151,0.0469,0.0469,793,0.11
kharif,PMFBY,Karnataka,,0.06,0.2323,0.0049,0.0188,0.0188,1592,0.04
kharif,PMFBY,Karnataka,Kodagu,0,0.003,0.0001,0,0,108,0
kharif,PMFBY,Karnataka,Kolar,0.01,0.0377,0.0009,0.0034,0.0034,472,0.01
kharif,PMFBY,Karnataka,Koppal,0.18,0.6643,0.0131,0.0619,0.0619,794,0.14
kharif,PMFBY,Karnataka,Mandya,0.01,0.0378,0.001,0.0024,0.0024,763,0.01
kharif,PMFBY,Karnataka,Mysuru,0,0.0076,0.0003,0.0003,0.0003,911,0
kharif,PMFBY,Karnataka,Raichur,0.15,0.6336,0.0156,0.0362,0.0362,1063,0.09
kharif,PMFBY,Karnataka,Ramanagara,0,0.0027,0.0001,0.0001,0.0001,340,0
kharif,PMFBY,Karnataka,Shivamogga,0.01,0.1021,0.0022,0.0044,0.0044,647,0.01
kharif,PMFBY,Karnataka,Tumakuru,0.07,0.2803,0.0059,0.0318,0.0318,760,0.07
kharif,PMFBY,Karnataka,Udupi,0,0.0032,0.0001,0,0,254,0
kharif,PMFBY,Karnataka,,0.04,0.2065,0.0042,0.019,0.019,318,0.04
kharif,PMFBY,Karnataka,Vijayapura,0.26,0.9534,0.0183,0.0752,0.0752,1261,0.17
kharif,PMFBY,Karnataka,,0.03,0.1584,0.0037,0.0095,0.0095,639,0.02
kharif,WBCIS,Karnataka,,0,0.0378,0.0019,0.0036,0.0036,440,0.01
kharif,WBCIS,Karnataka,Ballari,0,0.006,0.0003,0.0009,0.0009,367,0
kharif,WBCIS,Karnataka,Belagavi,0,0.0804,0.004,0.0064,0.0064,752,0.02
kharif,WBCIS,Karnataka,Bengaluru Rural,0,0.0024,0.0001,0.0003,0.0003,176,0
kharif,WBCIS,Karnataka,Bengaluru Urban,0,0.0007,0,0.0001,0.0001,130,0
kharif,WBCIS,Karnataka,Bidar,0,0.0009,0,0.0001,0.0001,430,0
kharif,WBCIS,Karnataka,,0,0,0,0,0,0,0
kharif,WBCIS,Karnataka,,0,0.0051,0.0003,0.001,0.001,93,0
kharif,WBCIS,Karnataka,Chikkamagaluru,0.01,0.0978,0.0049,0.0134,0.0134,605,0.03
kharif,WBCIS,Karnataka,Chitradurga,0,0.0276,0.0014,0.0059,0.0059,425,0.01
kharif,WBCIS,Karnataka,Dakshina Kannada,0,0.0581,0.0029,0.0099,0.0099,477,0.02
kharif,WBCIS,Karnataka,Davangere,0.01,0.0769,0.0038,0.0096,0.0096,393,0.02
kharif,WBCIS,Karnataka,Dharwad,0.01,0.0487,0.0024,0.0053,0.0053,156,0.01
kharif,WBCIS,Karnataka,Gadag,0,0.0011,0.0001,0.0001,0.0001,102,0
kharif,WBCIS,Karnataka,,0.01,0.038,0.0019,0.0095,0.0095,121,0.02
