season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count
kharif,WBCIS,Himachal Pradesh,Chamba,0.01,3.85,0.1925,0.0129,0.0129,1
kharif,WBCIS,Himachal Pradesh,Kangra,0,0.4,0.02,0.0127,0.0127,2
kharif,WBCIS,Himachal Pradesh,Kullu,0.02,20.22,1.01,0.8913,0.8913,4
kharif,WBCIS,Himachal Pradesh,Mandi,0,3.78,0.1892,0.0237,0.0237,3
kharif,WBCIS,Himachal Pradesh,Shimla,0.2,197.21,9.86,7.41,7.41,9
kharif,WBCIS,Himachal Pradesh,Sirmaur,0.25,259,12.95,4.44,4.44,6
kharif,WBCIS,Himachal Pradesh,Solan,0.86,887.9,44.4,26.17,26.17,5
kharif,PMFBY,Jammu And Kashmir,Doda,6.26,5033.23,100.66,79.27,79.27,16
kharif,PMFBY,Jammu And Kashmir,Jammu,15.47,14721.87,294.44,517.99,517.99,20
kharif,PMFBY,Jammu And Kashmir,Kathua,14.63,13963.5,279.27,160.21,160.21,19
kharif,PMFBY,Jammu And Kashmir,Kishtwar,2.12,1703.47,34.07,160.65,160.65,12
kharif,PMFBY,Jammu And Kashmir,Rajouri,2.09,1676.98,33.54,34.5,34.5,20
kharif,PMFBY,Jammu And Kashmir,Ramban,3.23,2648.37,52.97,40.3,40.3,11
kharif,PMFBY,Jammu And Kashmir,Reasi,3.85,3082.89,61.66,48.51,48.51,12
kharif,PMFBY,Jammu And Kashmir,Samba,4.06,3879.22,77.58,220.6,220.6,9
kharif,PMFBY,Jammu And Kashmir,Udhampur,8.7,7308.23,146.16,515.61,515.61,18
kharif,PMFBY,Jharkhand,Bokaro,21.64,12459.78,0,787.67,1036.87,199
kharif,PMFBY,Jharkhand,Chatra,53.56,32160.15,0,1129.45,1772.65,165
kharif,PMFBY,Jharkhand,Deoghar,43.79,26975.05,0,1079,1618.49,204
kharif,PMFBY,Jharkhand,Dhanbad,11.69,6456.3,0,272.91,402.04,229
kharif,PMFBY,Jharkhand,Dumka,24.22,12276.74,0,535.28,780.81,214
kharif,PMFBY,Jharkhand,Garhwa,40.04,18983.01,0,1312.89,1692.55,204
kharif,PMFBY,Jharkhand,Giridih,27.32,12656.55,0,601.96,855.09,353
kharif,PMFBY,Jharkhand,Godda,8.38,4465.35,0,178.27,267.53,204
kharif,PMFBY,Jharkhand,Gumla,22.04,12090.58,0,271.49,513.3,167
kharif,PMFBY,Jharkhand,Hazaribagh,25.22,14716.11,0,558.99,836.11,254
kharif,PMFBY,Jharkhand,Jamtara,21.55,11817.28,0,891.28,1127.62,124
kharif,PMFBY,Jharkhand,Khunti,21.94,13750.89,0,787.8,1062.81,90
kharif,PMFBY,Jharkhand,Latehar,19.08,10679.17,0,1016.86,1230.44,121
kharif,PMFBY,Jharkhand,Lohardaga,20.85,11824.16,0,599.3,835.79,73
kharif,PMFBY,Jharkhand,Pakur,14,7431.43,0,227.12,351.85,133
kharif,PMFBY,Jharkhand,Palamu,49.07,27303.69,0,2113.1,2659.17,293
kharif,PMFBY,Jharkhand,Ramgarh,11.49,6961.08,0,432.14,571.36,107
kharif,PMFBY,Jharkhand,Ranchi,58,31268.39,0,1334.63,1960,294
kharif,PMFBY,Jharkhand,Simdega,10.86,5992.07,0,352.94,472.78,102
kharif,PMFBY,Karnataka,Ballari,0.03,0.143,0.0046,0.0048,0.0048,1055
kharif,PMFBY,Karnataka,Belagavi,0.1,0.392,0.0082,0.0352,0.0352,1761
kharif,PMFBY,Karnataka,Bengaluru Rural,0,0.0087,0.0002,0.0004,0.0004,195
kharif,PMFBY,Karnataka,Bengaluru Urban,0,0.0011,0,0.0001,0.0001,127
kharif,PMFBY,Karnataka,Bidar,0.15,0.4999,0.0101,0.0629,0.0629,1059
kharif,PMFBY,Karnataka,Chikkamagaluru,0.01,0.0267,0.0007,0.0003,0.0003,483
kharif,PMFBY,Karnataka,Chitradurga,0.1,0.3842,0.0082,0.026,0.026,803
kharif,PMFBY,Karnataka,Dakshina Kannada,0,0.0006,0,0,0,398
kharif,PMFBY,Karnataka,Davangere,0.02,0.0815,0.0018,0.0044,0.0044,454
kharif,PMFBY,Karnataka,Dharwad,0.25,0.9619,0.0239,0.0652,0.0652,603
kharif,PMFBY,Karnataka,Gadag,0.37,1.28,0.0268,0.1329,0.1329,743
kharif,PMFBY,Karnataka,Haveri,0.14,0.6082,0.0151,0.0469,0.0469,793
kharif,PMFBY,Karnataka,Kodagu,0,0.003,0.0001,0,0,108
kharif,PMFBY,Karnataka,Kolar,0.01,0.0377,0.0009,0.0034,0.0034,472
kharif,PMFBY,Karnataka,Koppal,0.18,0.6643,0.0131,0.0619,0.0619,794
